Code,Description,Airport Name,Latitude,Longitude
10296,"Ambatomainty, Madagascar: Ambatomainty Airport",Ambatomainty Airport,-17.68611111,45.625
10297,"Anaheim, CA: Anaheim-Disneyland HP",Anaheim-Disneyland HP,33.81666667,-117.93333333
10298,"Anniston, AL: Anniston Regional",Anniston Regional,33.58805556,-85.85805556
10299,"Anchorage, AK: Ted Stevens Anchorage International",Ted Stevens Anchorage International,61.17416667,-149.99805556
10300,"Anderson, SC: Anderson Regional",Anderson Regional,34.49444444,-82.70944444
10301,"Angers, France: Angers Marce",Angers Marce,47.56,-0.31277778
10302,"Antofagasta, Chile: Andres Sabella International",Andres Sabella International,-23.44527778,-70.44527778
10303,"Angouleme, France: Angouleme Brie Champniers",Angouleme Brie Champniers,45.72944444,0.21833333
10304,"Aniak, AK: Aniak Airport",Aniak Airport,61.58138889,-159.54527778
10305,"Ankara, Turkey: Etimesgut",Etimesgut,39.95194444,32.68611111
10306,"Antalaha, Madagascar: Antsirabato",Antsirabato,-14.99944444,50.32027778
10307,"Annette, AK: Annette Island",Annette Island,55.04222222,-131.57083333
10308,"Angoche, Mozambique: Angoche Airport",Angoche Airport,-16.1825,39.94527778
10309,"Annapolis, MD: Lee",Lee,38.94277778,-76.56833333
10310,"Antwerp, Belgium: Deurne",Deurne,51.19,4.46305556
10311,"Andahuaylas, Peru: Andahuaylas Airport",Andahuaylas Airport,-13.70888889,-73.35138889
10312,"St. Johns, Antigua and Barbuda: V C Bird International",V C Bird International,17.13611111,-61.79388889
10313,"Anvik, AK: Anvik Airport",Anvik Airport,62.64722222,-160.19
10314,"Andeness, Norway: Andoya",Andoya,69.2975,16.13555556
10317,"Lima, OH: Lima Allen County",Lima Allen County,40.70833333,-84.02694444
10318,"Ancona, Italy: Ancona Falconara",Ancona Falconara,43.61638889,13.36222222
10319,"Aomori, Japan: Aomori Airport",Aomori Airport,40.73333333,140.68861111
10320,"Karpathos, Greece: Karpathos Airport",Karpathos Airport,35.42111111,27.14583333
10321,"Paso de Los Libres, Argentina: Paso de Los Libres Airport",Paso de Los Libres Airport,-29.68944444,-57.15194444
10322,"Altoona, PA: Altoona-Blair County",Altoona-Blair County,40.29638889,-78.32
10323,"Alor Setar, Malaysia: Sultan Abdul Halim",Sultan Abdul Halim,6.18972222,100.39833333
10324,"Amook Bay, AK: Amook Bay Airport",Amook Bay Airport,57.45472222,-153.81305556
